Series ID,Year,Period,Label,Value
CUUSS49DSETB,1990,S01,1990 Half1,87.5
CUUSS49DSETB,1990,S02,1990 Half2,107.5
CUUSS49DSETB,1991,S01,1991 Half1,98.2
CUUSS49DSETB,1991,S02,1991 Half2,95.3
CUUSS49DSETB,1992,S01,1992 Half1,96.2
CUUSS49DSETB,1992,S02,1992 Half2,103.9
CUUSS49DSETB,1993,S01,1993 Half1,96.6
CUUSS49DSETB,1993,S02,1993 Half2,105.6
CUUSS49DSETB,1994,S01,1994 Half1,107.4
CUUSS49DSETB,1994,S02,1994 Half2,119.2
CUUSS49DSETB,1995,S01,1995 Half1,118.0
CUUSS49DSETB,1995,S02,1995 Half2,120.6
CUUSS49DSETB,1996,S01,1996 Half1,124.9
CUUSS49DSETB,1996,S02,1996 Half2,130.8
CUUSS49DSETB,1997,S01,1997 Half1,123.6
CUUSS49DSETB,1997,S02,1997 Half2,125.6
