DATE,CUURA422SETB
1990-01-01,88.100
1990-02-01,89.400
1990-03-01,91.000
1990-04-01,93.500
1990-05-01,96.900
1990-06-01,99.700
1990-07-01,101.200
1990-08-01,108.000
1990-09-01,113.200
1990-10-01,118.200
1990-11-01,120.300
1990-12-01,122.000
1991-01-01,113.500
1991-02-01,104.200
1991-03-01,96.700
1991-04-01,92.200
1991-05-01,98.400
1991-06-01,101.600
1991-07-01,98.800
1991-08-01,99.200
1991-09-01,101.700
1991-10-01,100.100
1991-11-01,99.500
1991-12-01,99.200
1992-01-01,98.100
1992-02-01,98.400
1992-03-01,98.000
1992-04-01,98.600
1992-05-01,104.300
1992-06-01,108.700
1992-07-01,110.800
1992-08-01,111.100
1992-09-01,110.500
1992-10-01,110.300
1992-11-01,112.500
1992-12-01,112.100
1993-01-01,112.200
1993-02-01,111.600
1993-03-01,111.100
1993-04-01,109.400
1993-05-01,108.500
1993-06-01,107.800
1993-07-01,106.700
1993-08-01,105.800
1993-09-01,105.700
1993-10-01,110.200
1993-11-01,107.500
1993-12-01,103.600
1994-01-01,101.400
1994-02-01,101.200
1994-03-01,102.100
1994-04-01,103.900
1994-05-01,104.700
1994-06-01,105.700
1994-07-01,108.700
1994-08-01,110.800
1994-09-01,110.800
1994-10-01,112.800
1994-11-01,112.600
1994-12-01,109.600
1995-01-01,107.900
1995-02-01,107.400
1995-03-01,106.200
1995-04-01,106.400
1995-05-01,109.100
1995-06-01,111.300
1995-07-01,110.200
1995-08-01,108.400
1995-09-01,107.100
1995-10-01,107.900
1995-11-01,107.500
1995-12-01,106.800
1996-01-01,107.800
1996-02-01,108.200
1996-03-01,111.700
1996-04-01,123.200
1996-05-01,126.400
1996-06-01,122.500
1996-07-01,120.400
1996-08-01,116.800
1996-09-01,112.400
1996-10-01,108.400
1996-11-01,102.400
1996-12-01,99.200
1997-01-01,104.000
1997-02-01,108.900
1997-03-01,110.400
1997-04-01,115.700
1997-05-01,113.700
1997-06-01,110.500
1997-07-01,106.900
1997-08-01,108.900
1997-09-01,114.400
1997-10-01,114.200
1997-11-01,112.000
1997-12-01,109.600
1998-01-01,108.200
1998-02-01,104.100
1998-03-01,98.700
1998-04-01,97.900
1998-05-01,104.200
1998-06-01,103.000
1998-07-01,101.500
1998-08-01,99.500
1998-09-01,97.400
1998-10-01,95.400
1998-11-01,93.700
1998-12-01,93.800
1999-01-01,92.300
1999-02-01,91.300
1999-03-01,97.600
1999-04-01,133.100
1999-05-01,124.600
1999-06-01,115.900
1999-07-01,122.200
1999-08-01,131.300
1999-09-01,125.000
1999-10-01,119.300
1999-11-01,114.200
1999-12-01,115.500
2000-01-01,114.400
2000-02-01,118.800
2000-03-01,142.600
2000-04-01,145.100
2000-05-01,137.700
2000-06-01,136.400
2000-07-01,144.800
2000-08-01,141.700
2000-09-01,152.500
2000-10-01,149.500
2000-11-01,147.800
2000-12-01,141.700
2001-01-01,134.200
2001-02-01,134.100
2001-03-01,139.500
2001-04-01,148.000
2001-05-01,155.000
2001-06-01,152.600
2001-07-01,142.800
2001-08-01,128.800
2001-09-01,140.300
2001-10-01,133.000
2001-11-01,123.700
2001-12-01,107.100
2002-01-01,100.000
2002-02-01,100.000
2002-03-01,112.400
2002-04-01,126.300
2002-05-01,123.400
2002-06-01,125.300
2002-07-01,127.500
2002-08-01,126.100
2002-09-01,125.100
2002-10-01,123.200
2002-11-01,128.400
2002-12-01,125.800
2003-01-01,131.300
2003-02-01,146.100
2003-03-01,163.600
2003-04-01,160.800
2003-05-01,146.400
2003-06-01,140.600
2003-07-01,143.300
2003-08-01,147.100
2003-09-01,159.800
2003-10-01,142.400
2003-11-01,131.400
2003-12-01,126.000
2004-01-01,128.500
2004-02-01,142.300
2004-03-01,161.100
2004-04-01,163.700
2004-05-01,172.300
2004-06-01,175.200
2004-07-01,168.300
2004-08-01,161.000
2004-09-01,160.900
2004-10-01,178.800
2004-11-01,178.700
2004-12-01,163.300
2005-01-01,148.700
2005-02-01,156.800
2005-03-01,175.200
2005-04-01,199.400
2005-05-01,194.900
2005-06-01,183.900
2005-07-01,196.000
2005-08-01,207.600
2005-09-01,227.500
2005-10-01,223.700
2005-11-01,196.200
2005-12-01,170.400
2006-01-01,179.300
2006-02-01,190.300
2006-03-01,194.500
2006-04-01,221.100
2006-05-01,249.900
2006-06-01,242.500
2006-07-01,241.000
2006-08-01,237.400
2006-09-01,214.600
2006-10-01,192.500
2006-11-01,187.900
2006-12-01,195.500
2007-01-01,200.880
2007-02-01,209.749
2007-03-01,235.058
2007-04-01,250.760
2007-05-01,260.805
2007-06-01,248.811
2007-07-01,240.803
2007-08-01,226.316
2007-09-01,223.372
2007-10-01,235.791
2007-11-01,259.048
2007-12-01,255.821
2008-01-01,250.212
2008-02-01,248.039
2008-03-01,274.961
2008-04-01,290.676
2008-05-01,306.873
2008-06-01,343.212
2008-07-01,341.875
2008-08-01,314.230
2008-09-01,293.935
2008-10-01,265.876
2008-11-01,185.407
2008-12-01,144.347
2009-01-01,155.306
2009-02-01,168.967
2009-03-01,164.605
2009-04-01,175.201
2009-05-01,190.133
2009-06-01,221.647
2009-07-01,219.178
2009-08-01,227.611
2009-09-01,235.807
2009-10-01,231.073
2009-11-01,226.929
2009-12-01,221.105
2010-01-01,229.591
2010-02-01,223.012
2010-03-01,232.353
2010-04-01,235.419
2010-05-01,236.233
2010-06-01,234.727
2010-07-01,239.542
2010-08-01,240.431
2010-09-01,230.834
2010-10-01,236.366
2010-11-01,241.685
2010-12-01,246.287
2011-01-01,254.643
2011-02-01,264.552
2011-03-01,297.753
2011-04-01,317.686
2011-05-01,314.626
2011-06-01,295.113
2011-07-01,288.352
2011-08-01,285.106
2011-09-01,295.484
2011-10-01,290.739
2011-11-01,286.068
2011-12-01,271.286
2012-01-01,280.517
2012-02-01,302.724
2012-03-01,327.962
2012-04-01,317.962
2012-05-01,325.378
2012-06-01,301.192
2012-07-01,285.891
2012-08-01,310.778
2012-09-01,316.030
2012-10-01,336.090
2012-11-01,288.389
2012-12-01,268.569
2013-01-01,274.605
2013-02-01,306.602
2013-03-01,309.846
2013-04-01,300.682
2013-05-01,306.012
2013-06-01,303.270
