Series ID,Year,Period,Label,Value
CUUSS35DSETB,1997,S02,1997 Half2,126.3
CUUSS35DSETB,1998,S01,1998 Half1,113.7
CUUSS35DSETB,1998,S02,1998 Half2,110.1
CUUSS35DSETB,1999,S01,1999 Half1,110.7
CUUSS35DSETB,1999,S02,1999 Half2,131.3
CUUSS35DSETB,2000,S01,2000 Half1,153.1
CUUSS35DSETB,2000,S02,2000 Half2,156.2
CUUSS35DSETB,2001,S01,2001 Half1,156.5
CUUSS35DSETB,2001,S02,2001 Half2,134.2
CUUSS35DSETB,2002,S01,2002 Half1,133.1
CUUSS35DSETB,2002,S02,2002 Half2,149.7
CUUSS35DSETB,2003,S01,2003 Half1,163.1
CUUSS35DSETB,2003,S02,2003 Half2,158.7
CUUSS35DSETB,2004,S01,2004 Half1,185.7
CUUSS35DSETB,2004,S02,2004 Half2,201.6
CUUSS35DSETB,2005,S01,2005 Half1,217.8
CUUSS35DSETB,2005,S02,2005 Half2,266.7
CUUSS35DSETB,2006,S01,2006 Half1,269.7
CUUSS35DSETB,2006,S02,2006 Half2,268.4
CUUSS35DSETB,2007,S01,2007 Half1,279.658
CUUSS35DSETB,2007,S02,2007 Half2,304.128
CUUSS35DSETB,2008,S01,2008 Half1,361.193
CUUSS35DSETB,2008,S02,2008 Half2,329.763
CUUSS35DSETB,2009,S01,2009 Half1,222.476
CUUSS35DSETB,2009,S02,2009 Half2,271.293
CUUSS35DSETB,2010,S01,2010 Half1,291.554
CUUSS35DSETB,2010,S02,2010 Half2,290.879
CUUSS35DSETB,2011,S01,2011 Half1,371.281
CUUSS35DSETB,2011,S02,2011 Half2,364.932
CUUSS35DSETB,2012,S01,2012 Half1,383.140
CUUSS35DSETB,2012,S02,2012 Half2,376.968
CUUSS35DSETB,2013,S01,2013 Half1,382.523
CUUSS35DSETB,2013,S02,2013 Half2,369.415
CUUSS35DSETB,2014,S01,2014 Half1,383.267
CUUSS35DSETB,2014,S02,2014 Half2,337.335
CUUSS35DSETB,2015,S01,2015 Half1,265.765
CUUSS35DSETB,2015,S02,2015 Half2,242.147
CUUSS35DSETB,2016,S01,2016 Half1,220.075
CUUSS35DSETB,2016,S02,2016 Half2,232.185
CUUSS35DSETB,2017,S01,2017 Half1,248.708
CUUSS35DSETB,2017,S02,2017 Half2,254.167
CUUSS35DSETB,2018,S01,2018 Half1,281.554
CUUSS35DSETB,2018,S02,2018 Half2,283.941
CUUSS35DSETB,2019,S01,2019 Half1,270.530
CUUSS35DSETB,2019,S02,2019 Half2,266.879
CUUSS35DSETB,2020,S01,2020 Half1,229.299
CUUSS35DSETB,2020,S02,2020 Half2,221.433
CUUSS35DSETB,2021,S01,2021 Half1,286.933
CUUSS35DSETB,2021,S02,2021 Half2,330.983
