DATE,PCPI13121
1991-01-01,26197
1992-01-01,28188
1993-01-01,29207
1994-01-01,30293
1995-01-01,32581
1996-01-01,34059
1997-01-01,36786
1998-01-01,41039
1999-01-01,42865
2000-01-01,47733
2001-01-01,51746
2002-01-01,53355
2003-01-01,53987
2004-01-01,57282
2005-01-01,62154
2006-01-01,67243
2007-01-01,67946
2008-01-01,61865
2009-01-01,58821
2010-01-01,59263
2011-01-01,63629
2012-01-01,65135
2013-01-01,64061
2014-01-01,71397
2015-01-01,74274
2016-01-01,77041
2017-01-01,82345
2018-01-01,87395
2019-01-01,92961
2020-01-01,95683
