DATE,PCPI25025
1990-01-01,24625
1991-01-01,25196
1992-01-01,26214
1993-01-01,26749
1994-01-01,27907
1995-01-01,28846
1996-01-01,30606
1997-01-01,32227
1998-01-01,34227
1999-01-01,36411
2000-01-01,39929
2001-01-01,42855
2002-01-01,42428
2003-01-01,42950
2004-01-01,45697
2005-01-01,48618
2006-01-01,53402
2007-01-01,54718
2008-01-01,55209
2009-01-01,58788
2010-01-01,64867
2011-01-01,63516
2012-01-01,63300
2013-01-01,61980
2014-01-01,63062
2015-01-01,67656
2016-01-01,72424
2017-01-01,76928
2018-01-01,80916
2019-01-01,84307
2020-01-01,90571
