DATE,PCPI17031
1990-01-01,22294
1991-01-01,22559
1992-01-01,23916
1993-01-01,24457
1994-01-01,25443
1995-01-01,26931
1996-01-01,28285
1997-01-01,29836
1998-01-01,31657
1999-01-01,32735
2000-01-01,35239
2001-01-01,36337
2002-01-01,36735
2003-01-01,37070
2004-01-01,38470
2005-01-01,40677
2006-01-01,43516
2007-01-01,46702
2008-01-01,47098
2009-01-01,43472
2010-01-01,44271
2011-01-01,45866
2012-01-01,48519
2013-01-01,49874
2014-01-01,53622
2015-01-01,56568
2016-01-01,57194
2017-01-01,59285
2018-01-01,63491
2019-01-01,65817
2020-01-01,69935
