DATE,PCPI39035
1990-01-01,22621
1991-01-01,22721
1992-01-01,23525
1993-01-01,24290
1994-01-01,25285
1995-01-01,26519
1996-01-01,27481
1997-01-01,28829
1998-01-01,30446
1999-01-01,31102
2000-01-01,32787
2001-01-01,32542
2002-01-01,32776
2003-01-01,33289
2004-01-01,34785
2005-01-01,36077
2006-01-01,38593
2007-01-01,40682
2008-01-01,42274
2009-01-01,39914
2010-01-01,40353
2011-01-01,42904
2012-01-01,45353
2013-01-01,45475
2014-01-01,47813
2015-01-01,49553
2016-01-01,50693
2017-01-01,52583
2018-01-01,54612
2019-01-01,55998
2020-01-01,59923
