DATE,PCPI08031
1990-01-01,23320
1991-01-01,23438
1992-01-01,24376
1993-01-01,25277
1994-01-01,26430
1995-01-01,28277
1996-01-01,29666
1997-01-01,31002
1998-01-01,34170
1999-01-01,35734
2000-01-01,39281
2001-01-01,39809
2002-01-01,39829
2003-01-01,40502
2004-01-01,41661
2005-01-01,46111
2006-01-01,50481
2007-01-01,52034
2008-01-01,54331
2009-01-01,46772
2010-01-01,48601
2011-01-01,53633
2012-01-01,57141
2013-01-01,61167
2014-01-01,67434
2015-01-01,66423
2016-01-01,63339
2017-01-01,73385
2018-01-01,77667
2019-01-01,83192
2020-01-01,85411
