DATE,PCPI06037
1990-01-01,21510
1991-01-01,21602
1992-01-01,22289
1993-01-01,22328
1994-01-01,22854
1995-01-01,23763
1996-01-01,24891
1997-01-01,25810
1998-01-01,27777
1999-01-01,28805
2000-01-01,30080
2001-01-01,30919
2002-01-01,31440
2003-01-01,32756
2004-01-01,34609
2005-01-01,36825
2006-01-01,40105
2007-01-01,42104
2008-01-01,42948
2009-01-01,41288
2010-01-01,42939
2011-01-01,45571
2012-01-01,48548
2013-01-01,48077
2014-01-01,50891
2015-01-01,54007
2016-01-01,55738
2017-01-01,57551
2018-01-01,59874
2019-01-01,63043
2020-01-01,68272
