DATE,PCPI12086
1990-01-01,18338
1991-01-01,18645
1992-01-01,19201
1993-01-01,20157
1994-01-01,20596
1995-01-01,21486
1996-01-01,22183
1997-01-01,22855
1998-01-01,24273
1999-01-01,25038
2000-01-01,26678
2001-01-01,28353
2002-01-01,28993
2003-01-01,29603
2004-01-01,31675
2005-01-01,33913
2006-01-01,36855
2007-01-01,38134
2008-01-01,38141
2009-01-01,34755
2010-01-01,38349
2011-01-01,39469
2012-01-01,40188
2013-01-01,39734
2014-01-01,42443
2015-01-01,44735
2016-01-01,44479
2017-01-01,48755
2018-01-01,52942
2019-01-01,54316
2020-01-01,57213
