DATE,PCPI41051
1990-01-01,20837
1991-01-01,21293
1992-01-01,22255
1993-01-01,23055
1994-01-01,24387
1995-01-01,25674
1996-01-01,27150
1997-01-01,28152
1998-01-01,29624
1999-01-01,30198
2000-01-01,32620
2001-01-01,32804
2002-01-01,32813
2003-01-01,33322
2004-01-01,35092
2005-01-01,35994
2006-01-01,39464
2007-01-01,40756
2008-01-01,41991
2009-01-01,39129
2010-01-01,39962
2011-01-01,41655
2012-01-01,43835
2013-01-01,44829
2014-01-01,47218
2015-01-01,50163
2016-01-01,51196
2017-01-01,53990
2018-01-01,57195
2019-01-01,59402
2020-01-01,63852
