DATE,PCPI53033
1990-01-01,25596
1991-01-01,26719
1992-01-01,28179
1993-01-01,28641
1994-01-01,29763
1995-01-01,31215
1996-01-01,33306
1997-01-01,35400
1998-01-01,39869
1999-01-01,43543
2000-01-01,45906
2001-01-01,45766
2002-01-01,45818
2003-01-01,47016
2004-01-01,51422
2005-01-01,51862
2006-01-01,56602
2007-01-01,60582
2008-01-01,61047
2009-01-01,55084
2010-01-01,55766
2011-01-01,58850
2012-01-01,65370
2013-01-01,66179
2014-01-01,71820
2015-01-01,75367
2016-01-01,78776
2017-01-01,83086
2018-01-01,88308
2019-01-01,92026
2020-01-01,96647
