DATE,PCPI06075
1990-01-01,29320
1991-01-01,31017
1992-01-01,32065
1993-01-01,32679
1994-01-01,33494
1995-01-01,36263
1996-01-01,38552
1997-01-01,40325
1998-01-01,45300
1999-01-01,49438
2000-01-01,57037
2001-01-01,56878
2002-01-01,55309
2003-01-01,55785
2004-01-01,59593
2005-01-01,65428
2006-01-01,72346
2007-01-01,75307
2008-01-01,75250
2009-01-01,71646
2010-01-01,75698
2011-01-01,80189
2012-01-01,87735
2013-01-01,88777
2014-01-01,97993
2015-01-01,105863
2016-01-01,113024
2017-01-01,119591
2018-01-01,129280
2019-01-01,133856
2020-01-01,144818
