DATE,PCPI12057
1990-01-01,18225
1991-01-01,18704
1992-01-01,19507
1993-01-01,20244
1994-01-01,21325
1995-01-01,22676
1996-01-01,23855
1997-01-01,24835
1998-01-01,26394
1999-01-01,27469
2000-01-01,29240
2001-01-01,29614
2002-01-01,30008
2003-01-01,31364
2004-01-01,33390
2005-01-01,35143
2006-01-01,36789
2007-01-01,37845
2008-01-01,38320
2009-01-01,37420
2010-01-01,39811
2011-01-01,42927
2012-01-01,41625
2013-01-01,40443
2014-01-01,41786
2015-01-01,43162
2016-01-01,43459
2017-01-01,45030
2018-01-01,46775
2019-01-01,48586
2020-01-01,51848
