Series ID,Year,Period,Label,Value
LAUCT262200000000003,1990,M01,1990 Jan,14.8
LAUCT262200000000003,1990,M02,1990 Feb,14.9
LAUCT262200000000003,1990,M03,1990 Mar,14.4
LAUCT262200000000003,1990,M04,1990 Apr,13.7
LAUCT262200000000003,1990,M05,1990 May,13.8
LAUCT262200000000003,1990,M06,1990 Jun,14.1
LAUCT262200000000003,1990,M07,1990 Jul,16.0
LAUCT262200000000003,1990,M08,1990 Aug,15.7
LAUCT262200000000003,1990,M09,1990 Sep,14.5
LAUCT262200000000003,1990,M10,1990 Oct,15.3
LAUCT262200000000003,1990,M11,1990 Nov,15.9
LAUCT262200000000003,1990,M12,1990 Dec,16.2
LAUCT262200000000003,1991,M01,1991 Jan,18.2
LAUCT262200000000003,1991,M02,1991 Feb,19.1
LAUCT262200000000003,1991,M03,1991 Mar,19.0
LAUCT262200000000003,1991,M04,1991 Apr,18.2
LAUCT262200000000003,1991,M05,1991 May,17.4
LAUCT262200000000003,1991,M06,1991 Jun,18.0
LAUCT262200000000003,1991,M07,1991 Jul,17.8
LAUCT262200000000003,1991,M08,1991 Aug,17.2
LAUCT262200000000003,1991,M09,1991 Sep,16.9
LAUCT262200000000003,1991,M10,1991 Oct,17.8
LAUCT262200000000003,1991,M11,1991 Nov,17.5
LAUCT262200000000003,1991,M12,1991 Dec,16.9
LAUCT262200000000003,1992,M01,1992 Jan,19.1
LAUCT262200000000003,1992,M02,1992 Feb,19.1
LAUCT262200000000003,1992,M03,1992 Mar,18.2
LAUCT262200000000003,1992,M04,1992 Apr,16.2
LAUCT262200000000003,1992,M05,1992 May,16.8
LAUCT262200000000003,1992,M06,1992 Jun,17.5
LAUCT262200000000003,1992,M07,1992 Jul,20.1
LAUCT262200000000003,1992,M08,1992 Aug,18.0
LAUCT262200000000003,1992,M09,1992 Sep,17.7
LAUCT262200000000003,1992,M10,1992 Oct,16.7
LAUCT262200000000003,1992,M11,1992 Nov,16.0
LAUCT262200000000003,1992,M12,1992 Dec,14.9
LAUCT262200000000003,1993,M01,1993 Jan,16.1
LAUCT262200000000003,1993,M02,1993 Feb,14.4
LAUCT262200000000003,1993,M03,1993 Mar,13.7
LAUCT262200000000003,1993,M04,1993 Apr,12.4
LAUCT262200000000003,1993,M05,1993 May,13.3
LAUCT262200000000003,1993,M06,1993 Jun,14.7
LAUCT262200000000003,1993,M07,1993 Jul,14.7
LAUCT262200000000003,1993,M08,1993 Aug,12.9
LAUCT262200000000003,1993,M09,1993 Sep,13.2
LAUCT262200000000003,1993,M10,1993 Oct,12.9
LAUCT262200000000003,1993,M11,1993 Nov,12.2
LAUCT262200000000003,1993,M12,1993 Dec,12.0
LAUCT262200000000003,1994,M01,1994 Jan,13.9
LAUCT262200000000003,1994,M02,1994 Feb,13.1
LAUCT262200000000003,1994,M03,1994 Mar,12.4
LAUCT262200000000003,1994,M04,1994 Apr,10.9
LAUCT262200000000003,1994,M05,1994 May,10.5
LAUCT262200000000003,1994,M06,1994 Jun,11.1
LAUCT262200000000003,1994,M07,1994 Jul,12.3
LAUCT262200000000003,1994,M08,1994 Aug,11.1
LAUCT262200000000003,1994,M09,1994 Sep,10.1
LAUCT262200000000003,1994,M10,1994 Oct,9.4
LAUCT262200000000003,1994,M11,1994 Nov,7.9
LAUCT262200000000003,1994,M12,1994 Dec,7.2
LAUCT262200000000003,1995,M01,1995 Jan,10.3
LAUCT262200000000003,1995,M02,1995 Feb,9.4
LAUCT262200000000003,1995,M03,1995 Mar,10.1
LAUCT262200000000003,1995,M04,1995 Apr,9.6
LAUCT262200000000003,1995,M05,1995 May,9.4
LAUCT262200000000003,1995,M06,1995 Jun,10.6
LAUCT262200000000003,1995,M07,1995 Jul,11.6
LAUCT262200000000003,1995,M08,1995 Aug,10.5
LAUCT262200000000003,1995,M09,1995 Sep,10.3
LAUCT262200000000003,1995,M10,1995 Oct,9.0
LAUCT262200000000003,1995,M11,1995 Nov,8.4
LAUCT262200000000003,1995,M12,1995 Dec,8.2
LAUCT262200000000003,1996,M01,1996 Jan,10.5
LAUCT262200000000003,1996,M02,1996 Feb,8.9
LAUCT262200000000003,1996,M03,1996 Mar,8.8
LAUCT262200000000003,1996,M04,1996 Apr,8.2
LAUCT262200000000003,1996,M05,1996 May,9.6
LAUCT262200000000003,1996,M06,1996 Jun,10.2
LAUCT262200000000003,1996,M07,1996 Jul,11.4
LAUCT262200000000003,1996,M08,1996 Aug,9.6
LAUCT262200000000003,1996,M09,1996 Sep,9.7
LAUCT262200000000003,1996,M10,1996 Oct,9.6
LAUCT262200000000003,1996,M11,1996 Nov,9.4
LAUCT262200000000003,1996,M12,1996 Dec,9.3
LAUCT262200000000003,1997,M01,1997 Jan,10.9
LAUCT262200000000003,1997,M02,1997 Feb,9.3
LAUCT262200000000003,1997,M03,1997 Mar,9.3
LAUCT262200000000003,1997,M04,1997 Apr,8.1
LAUCT262200000000003,1997,M05,1997 May,7.7
LAUCT262200000000003,1997,M06,1997 Jun,9.0
LAUCT262200000000003,1997,M07,1997 Jul,9.8
LAUCT262200000000003,1997,M08,1997 Aug,8.4
LAUCT262200000000003,1997,M09,1997 Sep,8.9
LAUCT262200000000003,1997,M10,1997 Oct,8.1
LAUCT262200000000003,1997,M11,1997 Nov,7.2
LAUCT262200000000003,1997,M12,1997 Dec,7.0
LAUCT262200000000003,1998,M01,1998 Jan,8.9
LAUCT262200000000003,1998,M02,1998 Feb,8.0
LAUCT262200000000003,1998,M03,1998 Mar,8.2
LAUCT262200000000003,1998,M04,1998 Apr,6.4
LAUCT262200000000003,1998,M05,1998 May,7.1
LAUCT262200000000003,1998,M06,1998 Jun,8.2
LAUCT262200000000003,1998,M07,1998 Jul,10.7
LAUCT262200000000003,1998,M08,1998 Aug,8.2
LAUCT262200000000003,1998,M09,1998 Sep,9.3
LAUCT262200000000003,1998,M10,1998 Oct,8.8
LAUCT262200000000003,1998,M11,1998 Nov,7.8
LAUCT262200000000003,1998,M12,1998 Dec,7.8
LAUCT262200000000003,1999,M01,1999 Jan,9.1
LAUCT262200000000003,1999,M02,1999 Feb,9.3
LAUCT262200000000003,1999,M03,1999 Mar,8.4
LAUCT262200000000003,1999,M04,1999 Apr,7.3
LAUCT262200000000003,1999,M05,1999 May,7.3
LAUCT262200000000003,1999,M06,1999 Jun,8.2
LAUCT262200000000003,1999,M07,1999 Jul,9.2
LAUCT262200000000003,1999,M08,1999 Aug,7.0
LAUCT262200000000003,1999,M09,1999 Sep,7.6
LAUCT262200000000003,1999,M10,1999 Oct,7.5
LAUCT262200000000003,1999,M11,1999 Nov,6.9
LAUCT262200000000003,1999,M12,1999 Dec,6.3
LAUCT262200000000003,2000,M01,2000 Jan,6.6
LAUCT262200000000003,2000,M02,2000 Feb,6.0
LAUCT262200000000003,2000,M03,2000 Mar,6.8
LAUCT262200000000003,2000,M04,2000 Apr,5.4
LAUCT262200000000003,2000,M05,2000 May,6.2
LAUCT262200000000003,2000,M06,2000 Jun,7.2
LAUCT262200000000003,2000,M07,2000 Jul,8.7
LAUCT262200000000003,2000,M08,2000 Aug,7.6
LAUCT262200000000003,2000,M09,2000 Sep,7.0
LAUCT262200000000003,2000,M10,2000 Oct,6.3
