dc,01-90,5.3
dc,02-90,5.5
dc,03-90,5.2
dc,04-90,5.1
dc,05-90,5.4
dc,06-90,6.0
dc,07-90,6.2
dc,08-90,6.2
dc,09-90,6.6
dc,10-90,6.3
dc,11-90,6.7
dc,12-90,6.5
dc,01-91,7.2
dc,02-91,7.4
dc,03-91,7.2
dc,04-91,6.8
dc,05-91,7.7
dc,06-91,8.1
dc,07-91,8.0
dc,08-91,7.8
dc,09-91,8.1
dc,10-91,8.0
dc,11-91,7.9
dc,12-91,8.0
dc,01-92,8.7
dc,02-92,8.9
dc,03-92,8.4
dc,04-92,7.6
dc,05-92,8.2
dc,06-92,9.1
dc,07-92,9.0
dc,08-92,8.6
dc,09-92,8.9
dc,10-92,8.4
dc,11-92,8.6
dc,12-92,8.1
dc,01-93,9.0
dc,02-93,8.9
dc,03-93,8.3
dc,04-93,7.7
dc,05-93,8.0
dc,06-93,8.8
dc,07-93,8.8
dc,08-93,8.5
dc,09-93,8.4
dc,10-93,8.4
dc,11-93,8.0
dc,12-93,7.6
dc,01-94,8.9
dc,02-94,8.7
dc,03-94,8.4
dc,04-94,7.4
dc,05-94,7.4
dc,06-94,8.2
dc,07-94,8.4
dc,08-94,8.0
dc,09-94,7.8
dc,10-94,7.5
dc,11-94,7.4
dc,12-94,7.1
dc,01-95,8.6
dc,02-95,8.3
dc,03-95,8.1
dc,04-95,8.2
dc,05-95,8.4
dc,06-95,9.1
dc,07-95,9.3
dc,08-95,9.1
dc,09-95,9.1
dc,10-95,8.6
dc,11-95,8.6
dc,12-95,8.3
dc,01-96,8.9
dc,02-96,8.7
dc,03-96,8.7
dc,04-96,8.0
dc,05-96,8.6
dc,06-96,8.7
dc,07-96,9.1
dc,08-96,8.4
dc,09-96,8.4
dc,10-96,8.0
dc,11-96,7.9
dc,12-96,7.7
dc,01-97,8.3
dc,02-97,8.2
dc,03-97,8.0
dc,04-97,7.2
dc,05-97,7.4
dc,06-97,8.4
dc,07-97,8.5
dc,08-97,8.4
dc,09-97,8.6
dc,10-97,8.3
dc,11-97,8.0
dc,12-97,8.1
dc,01-98,9.1
dc,02-98,9.1
dc,03-98,9.2
dc,04-98,7.5
dc,05-98,7.9
dc,06-98,8.8
dc,07-98,8.8
dc,08-98,8.4
dc,09-98,8.5
dc,10-98,8.1
dc,11-98,7.6
dc,12-98,6.9
dc,01-99,7.6
dc,02-99,7.7
dc,03-99,6.9
dc,04-99,6.4
dc,05-99,6.3
dc,06-99,6.9
dc,07-99,7.0
dc,08-99,6.6
dc,09-99,6.5
dc,10-99,5.9
dc,11-99,5.7
dc,12-99,5.3
dc,01-00,6.1
dc,02-00,6.0
dc,03-00,5.8
dc,04-00,4.9
dc,05-00,5.4
dc,06-00,5.8
dc,07-00,6.1
dc,08-00,5.9
dc,09-00,5.9
dc,10-00,5.7
dc,11-00,5.6
dc,12-00,5.4
dc,01-01,6.3
dc,02-01,6.3
dc,03-01,6.2
dc,04-01,5.6
dc,05-01,5.6
dc,06-01,6.8
dc,07-01,6.6
dc,08-01,6.9
dc,09-01,6.8
dc,10-01,7.0
dc,11-01,7.1
dc,12-01,6.6
dc,01-02,7.4
dc,02-02,7.4
dc,03-02,7.1
dc,04-02,6.5
dc,05-02,6.7
dc,06-02,7.3
dc,07-02,7.3
dc,08-02,7.1
dc,09-02,6.8
dc,10-02,6.7
dc,11-02,6.7
dc,12-02,6.7
dc,01-03,7.3
dc,02-03,7.5
dc,03-03,7.0
dc,04-03,6.6
dc,05-03,6.8
dc,06-03,8.1
dc,07-03,7.7
dc,08-03,7.7
dc,09-03,7.3
dc,10-03,7.2
dc,11-03,7.2
dc,12-03,6.9
dc,01-04,7.7
dc,02-04,7.7
dc,03-04,7.9
dc,04-04,7.2
dc,05-04,7.7
dc,06-04,8.6
dc,07-04,8.9
dc,08-04,8.5
dc,09-04,8.3
dc,10-04,8.4
dc,11-04,8.3
dc,12-04,8.0
dc,01-05,8.1
dc,02-05,8.2
dc,03-05,7.5
dc,04-05,6.8
dc,05-05,7.1
dc,06-05,7.4
dc,07-05,7.0
dc,08-05,6.6
dc,09-05,6.5
dc,10-05,6.3
dc,11-05,6.3
dc,12-05,5.9
dc,01-06,6.2
dc,02-06,6.4
dc,03-06,6.2
dc,04-06,5.8
dc,05-06,6.0
dc,06-06,6.6
dc,07-06,6.9
dc,08-06,6.7
dc,09-06,6.7
dc,10-06,6.1
dc,11-06,6.2
dc,12-06,6.0
dc,01-07,6.5
dc,02-07,6.3
dc,03-07,5.8
dc,04-07,5.3
dc,05-07,5.5
dc,06-07,6.3
dc,07-07,6.4
dc,08-07,6.1
dc,09-07,6.2
dc,10-07,5.9
dc,11-07,5.6
dc,12-07,5.8
dc,01-08,6.4
dc,02-08,6.2
dc,03-08,6.1
dc,04-08,5.4
dc,05-08,6.2
dc,06-08,6.9
dc,07-08,7.2
dc,08-08,7.3
dc,09-08,7.3
dc,10-08,7.4
dc,11-08,7.6
dc,12-08,8.1
dc,01-09,8.9
dc,02-09,9.4
dc,03-09,9.2
dc,04-09,8.8
dc,05-09,9.6
dc,06-09,10.5
dc,07-09,10.5
dc,08-09,10.8
dc,09-09,10.8
dc,10-09,10.8
dc,11-09,10.4
dc,12-09,10.3
dc,01-10,10.8
dc,02-10,10.6
dc,03-10,10.1
dc,04-10,9.2
dc,05-10,9.2
dc,06-10,10.0
dc,07-10,10.2
dc,08-10,10.2
dc,09-10,9.9
dc,10-10,9.9
dc,11-10,9.9
dc,12-10,9.6
dc,01-11,10.2
dc,02-11,10.1
dc,03-11,10.0
dc,04-11,9.4
dc,05-11,9.9
dc,06-11,11.0
dc,07-11,10.9
dc,08-11,10.7
dc,09-11,10.5
dc,10-11,10.2
dc,11-11,9.6
dc,12-11,9.5
dc,01-12,9.8
dc,02-12,9.7
dc,03-12,9.3
dc,04-12,8.3
dc,05-12,8.7
dc,06-12,9.3
dc,07-12,9.5
dc,08-12,9.2
dc,09-12,8.7
dc,10-12,8.5
dc,11-12,8.2
dc,12-12,8.5
dc,01-13,9.2
dc,02-13,8.8
dc,03-13,8.4
dc,04-13,7.7
dc,05-13,8.1
dc,06-13,8.9
dc,07-13,8.9
dc,08-13,8.7
dc,09-13,8.5
dc,10-13,8.8
dc,11-13,7.7
dc,12-13,7.4
dc,01-14,8.0
dc,02-14,8.2
dc,03-14,8.0
dc,04-14,6.9
dc,05-14,7.3
dc,06-14,7.9
dc,07-14,8.4
dc,08-14,8.3
dc,09-14,7.7
dc,10-14,7.4
dc,11-14,7.3
dc,12-14,7.1
dc,01-15,7.7
dc,02-15,7.5
dc,03-15,7.0
dc,04-15,6.4
dc,05-15,6.9
dc,06-15,7.2
dc,07-15,7.4
dc,08-15,7.1
dc,09-15,6.7
dc,10-15,6.7
dc,11-15,6.4
dc,12-15,6.2
dc,01-16,6.5
dc,02-16,6.5
dc,03-16,6.2
dc,04-16,5.5
dc,05-16,5.5
dc,06-16,6.5
dc,07-16,6.7
dc,08-16,6.7
dc,09-16,6.5
dc,10-16,6.3
dc,11-16,5.9
dc,12-16,5.9
dc,01-17,6.7
dc,02-17,6.6
dc,03-17,6.1
dc,04-17,5.5
dc,05-17,5.7
dc,06-17,6.5
dc,07-17,6.7
dc,08-17,6.5
dc,09-17,6.0
dc,10-17,5.8
dc,11-17,5.5
dc,12-17,5.6
dc,01-18,6.2
dc,02-18,6.2
dc,03-18,5.8
dc,04-18,5.1
dc,05-18,5.2
dc,06-18,6.1
dc,07-18,6.0
dc,08-18,5.9
dc,09-18,5.3
dc,10-18,5.3
dc,11-18,5.0
dc,12-18,5.5
dc,01-19,6.9
dc,02-19,6.1
dc,03-19,5.6
dc,04-19,4.8
dc,05-19,5.1
dc,06-19,5.7
dc,07-19,5.9
dc,08-19,5.5
dc,09-19,4.9
dc,10-19,4.9
dc,11-19,4.4
dc,12-19,4.8
dc,01-20,5.5
dc,02-20,5.2
dc,03-20,6.1
dc,04-20,10.4
dc,05-20,8.9
dc,06-20,9.1
dc,07-20,9.4
dc,08-20,8.9
dc,09-20,9.1
dc,10-20,8.5
dc,11-20,8.1
dc,12-20,7.0
dc,01-21,6.0
dc,02-21,6.6
dc,03-21,6.6
dc,04-21,6.5
dc,05-21,6.6
dc,06-21,8.1
dc,07-21,7.6
dc,08-21,7.3
dc,09-21,6.5
dc,10-21,6.2
dc,11-21,5.7
dc,12-21,5.1
dc,01-22,6.4
dc,02-22,5.6
dc,03-22,5.7
